Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,City,State,Region,Category,Sub-Category,Product Name,Quantity,Discount,Sales,Profit
12,US-2023-1006,2023-09-16,2023-09-23,First Class,CUST-0386,Mary Lopez,Corporate,Houston,Texas,Central,Office Supplies,Supplies,Stanley Bostitch Stapler,3,0,232.23,66.29
13,US-2023-1006,2023-09-16,2023-09-23,First Class,CUST-0386,Mary Lopez,Corporate,Houston,Texas,Central,Furniture,Bookcases,Hon 3-Shelf Bookcase,8,0.15,604.45,-58.39
14,US-2023-1007,2023-11-02,2023-11-08,Standard Class,CUST-0156,Michael Gonzalez,Consumer,Dallas,Texas,Central,Office Supplies,Art,Boston Pencil Sharpener,8,0,511.68,111.1
15,US-2023-1007,2023-11-02,2023-11-08,Standard Class,CUST-0156,Michael Gonzalez,Consumer,Dallas,Texas,Central,Office Supplies,Storage,Fellowes File Cart,4,0,640.48,57.83
16,US-2023-1007,2023-11-02,2023-11-08,Standard Class,CUST-0156,Michael Gonzalez,Consumer,Dallas,Texas,Central,Office Supplies,Paper,HP Multipurpose Paper,1,0.15,22.35,2.85
17,US-2023-1008,2023-03-08,2023-03-11,Second Class,CUST-0148,Linda Williams,Home Office,Seattle,Washington,West,Office Supplies,Labels,Hon Label Maker Tape,4,0.1,50.04,9.6
18,US-2023-1008,2023-03-08,2023-03-11,Second Class,CUST-0148,Linda Williams,Home Office,Seattle,Washington,West,Technology,Accessories,Logitech Mouse,1,0,62.29,13.53
19,US-2024-1009,2024-08-14,2024-08-19,Standard Class,CUST-0064,Susan Jackson,Corporate,Orlando,Florida,South,Office Supplies,Supplies,Stanley Bostitch Stapler,2,0.3,69.79,9.33
20,US-2024-1010,2024-05-27,2024-05-29,First Class,CUST-0047,Richard Rodriguez,Consumer,Nashville,Tennessee,South,Technology,Machines,HP LaserJet Printer,3,0.15,3561.92,708.89
21,US-2024-1010,2024-05-27,2024-05-29,First Class,CUST-0047,Richard Rodriguez,Consumer,Nashville,Tennessee,South,Office Supplies,Envelopes,Poly String Envelope,8,0.1,279.79,36.96
22,US-2024-1011,2024-10-19,2024-10-26,Standard Class,CUST-0054,Robert Miller,Consumer,Columbus,Ohio,East,Office Supplies,Envelopes,Poly String Envelope,1,0,19.83,2.99
23,US-2024-1011,2024-10-19,2024-10-26,Standard Class,CUST-0054,Robert Miller,Consumer,Columbus,Ohio,East,Technology,Copiers,Xerox WorkCentre Copier,1,0.1,2460.01,229.55
24,US-2024-1012,2024-01-20,2024-01-26,Standard Class,CUST-0186,Linda Rodriguez,Home Office,Richmond,Virginia,South,Furniture,Tables,Lesro Conference Table,5,0.15,1866.86,-148.68
25,US-2024-1013,2024-05-05,2024-05-12,Standard Class,CUST-0082,Susan Garcia,Corporate,Miami,Florida,South,Office Supplies,Paper,Adams Carbonless Paper,2,0,79.84,24.2
26,US-2024-1014,2024-08-20,2024-08-26,First Class,CUST-0362,Paul Davis,Corporate,Denver,Colorado,West,Office Supplies,Binders,Acco Binder,4,0.1,300.1,74.97
27,US-2024-1014,2024-08-20,2024-08-26,First Class,CUST-0362,Paul Davis,Corporate,Denver,Colorado,West,Technology,Machines,Brother Fax Machine,6,0.1,14179.1,2766.87
28,US-2024-1014,2024-08-20,2024-08-26,First Class,CUST-0362,Paul Davis,Corporate,Denver,Colorado,West,Office Supplies,Labels,Hon Label Maker Tape,8,0.1,188.86,28.53
29,US-2024-1014,2024-08-20,2024-08-26,First Class,CUST-0362,Paul Davis,Corporate,Denver,Colorado,West,Office Supplies,Envelopes,Globe-Weis Envelope,6,0.5,105.54,-7.42
30,US-2025-1015,2025-02-23,2025-02-26,Standard Class,CUST-0398,Jennifer Martin,Corporate,Los Angeles,California,West,Technology,Copiers,Hewlett Packard Copier,3,0,6398.16,995.38
31,US-2025-1015,2025-02-23,2025-02-26,Standard Class,CUST-0398,Jennifer Martin,Corporate,Los Angeles,California,West,Office Supplies,Paper,Adams Carbonless Paper,2,0.1,59.36,12.5
32,US-2025-1016,2025-04-19,2025-04-26,First Class,CUST-0080,Anthony Hernandez,Consumer,Detroit,Michigan,Central,Office Supplies,Envelopes,Poly String Envelope,2,0.2,55.23,11.31
33,US-2025-1017,2025-02-17,2025-02-21,Standard Class,CUST-0321,Betty Taylor,Home Office,Richmond,Virginia,South,Office Supplies,Art,Crayola Colored Pencils,4,0.1,191.84,10.48
34,US-2025-1017,2025-02-17,2025-02-21,Standard Class,CUST-0321,Betty Taylor,Home Office,Richmond,Virginia,South,Office Supplies,Paper,Adams Carbonless Paper,3,0.3,89.38,-3.44
35,US-2023-1018,2023-04-25,2023-04-29,Standard Class,CUST-0184,William Rodriguez,Corporate,Denver,Colorado,West,Office Supplies,Binders,GBC Binding Covers,3,0.3,24.59,2.58
36,US-2023-1018,2023-04-25,2023-04-29,Standard Class,CUST-0184,William Rodriguez,Corporate,Denver,Colorado,West,Office Supplies,Binders,GBC Binding Covers,8,0.1,426.38,83.87
37,US-2025-1019,2025-08-10,2025-08-14,Standard Class,CUST-0347,Matthew Miller,Home Office,San Antonio,Texas,Central,Technology,Machines,Brother Fax Machine,5,0,6803.05,1903.79
38,US-2025-1019,2025-08-10,2025-08-14,Standard Class,CUST-0347,Matthew Miller,Home Office,San Antonio,Texas,Central,Technology,Phones,Samsung Galaxy,7,0.1,4125.24,982.52
39,US-2025-1019,2025-08-10,2025-08-14,Standard Class,CUST-0347,Matthew Miller,Home Office,San Antonio,Texas,Central,Office Supplies,Envelopes,Globe-Weis Envelope,1,0.15,20.35,3.99
40,US-2025-1019,2025-08-10,2025-08-14,Standard Class,CUST-0347,Matthew Miller,Home Office,San Antonio,Texas,Central,Furniture,Furnishings,Advantus Wall Clock,4,0,509.24,55.59
41,US-2024-1020,2024-05-28,2024-06-04,Second Class,CUST-0387,Linda Williams,Home Office,Richmond,Virginia,South,Office Supplies,Storage,Iris Storage Box,8,0,144.08,14.82
42,US-2024-1020,2024-05-28,2024-06-04,Second Class,CUST-0387,Linda Williams,Home Office,Richmond,Virginia,South,Technology,Machines,Brother Fax Machine,3,0.2,1637.06,276.85
43,US-2024-1020,2024-05-28,2024-06-04,Second Class,CUST-0387,Linda Williams,Home Office,Richmond,Virginia,South,Office Supplies,Labels,Avery Address Labels,5,0.3,96.56,18.52
44,US-2024-1021,2024-08-27,2024-09-03,Same Day,CUST-0174,Margaret Garcia,Consumer,Boston,Massachusetts,East,Technology,Copiers,Xerox WorkCentre Copier,6,0,3804.72,365.69
45,US-2023-1022,2023-09-11,2023-09-16,Second Class,CUST-0189,Joseph Hernandez,Home Office,Newark,New Jersey,East,Technology,Machines,HP LaserJet Printer,4,0.15,4757.99,979.16
46,US-2023-1022,2023-09-11,2023-09-16,Second Class,CUST-0189,Joseph Hernandez,Home Office,Newark,New Jersey,East,Office Supplies,Art,Newell Highlighters,8,0,512.16,88.13
47,US-2023-1023,2023-10-14,2023-10-16,Standard Class,CUST-0020,Anthony Hernandez,Corporate,Detroit,Michigan,Central,Office Supplies,Envelopes,Globe-Weis Envelope,6,0.15,141.83,34.96
48,US-2025-1024,2025-05-08,2025-05-14,First Class,CUST-0381,William Gonzalez,Home Office,Philadelphia,Pennsylvania,East,Technology,Copiers,Hewlett Packard Copier,1,0,2854.04,402.92
49,US-2025-1024,2025-05-08,2025-05-14,First Class,CUST-0381,William Gonzalez,Home Office,Philadelphia,Pennsylvania,East,Office Supplies,Fasteners,Staples in Bulk Pack,6,0.4,52.27,-0.02
50,US-2025-1025,2025-03-26,2025-03-30,First Class,CUST-0098,Linda Johnson,Consumer,Sacramento,California,West,Office Supplies,Storage,Fellowes File Cart,6,0,410.76,86.73
51,US-2023-1026,2023-05-21,2023-05-27,First Class,CUST-0107,David Taylor,Home Office,San Diego,California,West,Technology,Phones,Google Pixel,3,0.1,2934.98,556.56
52,US-2023-1027,2023-08-14,2023-08-21,Standard Class,CUST-0014,Joseph Jackson,Consumer,New York City,New York,East,Office Supplies,Storage,SAFCO Storage Bin,5,0.15,95.96,13.58
53,US-2023-1027,2023-08-14,2023-08-21,Standard Class,CUST-0014,Joseph Jackson,Consumer,New York City,New York,East,Technology,Copiers,Hewlett Packard Copier,6,0,13193.88,2057.71
54,US-2023-1027,2023-08-14,2023-08-21,Standard Class,CUST-0014,Joseph Jackson,Consumer,New York City,New York,East,Technology,Phones,Nokia Lumia,5,0.4,1609.08,-184.71
55,US-2025-1028,2025-09-07,2025-09-12,Standard Class,CUST-0219,William Jones,Home Office,Houston,Texas,Central,Furniture,Bookcases,O'Sullivan Bookcase,3,0,256.86,27.81
56,US-2025-1028,2025-09-07,2025-09-12,Standard Class,CUST-0219,William Jones,Home Office,Houston,Texas,Central,Office Supplies,Fasteners,OIC Push Pins,9,0.1,71.12,9.78
57,US-2025-1028,2025-09-07,2025-09-12,Standard Class,CUST-0219,William Jones,Home Office,Houston,Texas,Central,Technology,Phones,Nokia Lumia,4,0.3,1420.36,19.11
58,US-2025-1029,2025-07-17,2025-07-22,Standard Class,CUST-0213,Michael Rodriguez,Home Office,Houston,Texas,Central,Office Supplies,Binders,Acco Binder,2,0,25.5,4.54
59,US-2025-1030,2025-02-02,2025-02-05,Same Day,CUST-0285,Matthew Martinez,Consumer,Minneapolis,Minnesota,Central,Office Supplies,Envelopes,Globe-Weis Envelope,7,0.15,208.96,52.68
60,US-2025-1030,2025-02-02,2025-02-05,Same Day,CUST-0285,Matthew Martinez,Consumer,Minneapolis,Minnesota,Central,Office Supplies,Fasteners,Staples in Bulk Pack,9,0.15,52.71,3.48
61,US-2023-1031,2023-08-10,2023-08-14,First Class,CUST-0285,Matthew Martinez,Corporate,Houston,Texas,Central,Technology,Phones,Nokia Lumia,5,0,450.55,99.39
62,US-2023-1031,2023-08-10,2023-08-14,First Class,CUST-0285,Matthew Martinez,Corporate,Houston,Texas,Central,Technology,Machines,HP LaserJet Printer,3,0.1,6628.88,597.9
63,US-2023-1032,2023-10-18,2023-10-25,Second Class,CUST-0325,Joseph Jones,Consumer,Chicago,Illinois,Central,Office Supplies,Fasteners,Bates Stapler,6,0,55.02,16.8
64,US-2023-1033,2023-06-23,2023-06-25,Second Class,CUST-0080,Anthony Hernandez,Consumer,Richmond,Virginia,South,Office Supplies,Envelopes,Globe-Weis Envelope,8,0,146.56,29.03
65,US-2023-1033,2023-06-23,2023-06-25,Second Class,CUST-0080,Anthony Hernandez,Consumer,Richmond,Virginia,South,Office Supplies,Paper,Easy-staple Paper,8,0,264.32,33.07
66,US-2023-1034,2023-04-23,2023-04-25,First Class,CUST-0105,John Thomas,Corporate,San Diego,California,West,Office Supplies,Paper,Xerox 1881 Paper,8,0,364.64,60.18
67,US-2023-1034,2023-04-23,2023-04-25,First Class,CUST-0105,John Thomas,Corporate,San Diego,California,West,Office Supplies,Fasteners,Staples in Bulk Pack,7,0,152.74,11.41
68,US-2023-1034,2023-04-23,2023-04-25,First Class,CUST-0105,John Thomas,Corporate,San Diego,California,West,Technology,Machines,Brother Fax Machine,7,0.1,12790.07,240.37
69,US-2023-1035,2023-02-12,2023-02-16,First Class,CUST-0088,Mark Taylor,Home Office,Boston,Massachusetts,East,Furniture,Bookcases,Bush Birmingham Bookcase,7,0.1,1824.86,16.32
70,US-2023-1035,2023-02-12,2023-02-16,First Class,CUST-0088,Mark Taylor,Home Office,Boston,Massachusetts,East,Office Supplies,Fasteners,Bates Stapler,6,0,119.52,27.29
71,US-2023-1035,2023-02-12,2023-02-16,First Class,CUST-0088,Mark Taylor,Home Office,Boston,Massachusetts,East,Office Supplies,Art,Crayola Colored Pencils,6,0.2,249.65,48.37
72,US-2024-1036,2024-04-28,2024-04-30,Standard Class,CUST-0075,Thomas Rodriguez,Corporate,San Diego,California,West,Technology,Phones,Samsung Galaxy,8,0.1,3906.07,526.8
73,US-2024-1037,2024-10-23,2024-10-30,Standard Class,CUST-0162,Matthew Moore,Consumer,Boston,Massachusetts,East,Office Supplies,Labels,Hon Label Maker Tape,1,0,11.85,2.2
74,US-2023-1038,2023-03-19,2023-03-21,Second Class,CUST-0189,Joseph Hernandez,Corporate,Chicago,Illinois,Central,Furniture,Furnishings,Seth Thomas Clock,9,0.15,1465.2,-146.15
75,US-2023-1038,2023-03-19,2023-03-21,Second Class,CUST-0189,Joseph Hernandez,Corporate,Chicago,Illinois,Central,Technology,Accessories,Anker Power Bank,8,0.4,757.87,-13.16
76,US-2023-1038,2023-03-19,2023-03-21,Second Class,CUST-0189,Joseph Hernandez,Corporate,Chicago,Illinois,Central,Technology,Machines,HP LaserJet Printer,9,0,16760.16,3467.77
77,US-2023-1038,2023-03-19,2023-03-21,Second Class,CUST-0189,Joseph Hernandez,Corporate,Chicago,Illinois,Central,Technology,Accessories,Anker Power Bank,6,0,1659.66,371.13
78,US-2023-1039,2023-04-18,2023-04-25,Standard Class,CUST-0332,Joseph Garcia,Corporate,Chicago,Illinois,Central,Office Supplies,Labels,Hon Label Maker Tape,3,0.1,30.59,2.0
79,US-2023-1039,2023-04-18,2023-04-25,Standard Class,CUST-0332,Joseph Garcia,Corporate,Chicago,Illinois,Central,Office Supplies,Envelopes,Staple Envelope,2,0,28.9,7.74
80,US-2023-1040,2023-09-19,2023-09-26,First Class,CUST-0360,Sarah Moore,Home Office,Nashville,Tennessee,South,Office Supplies,Fasteners,Staples in Bulk Pack,6,0.4,32.76,-0.15
81,US-2025-1041,2025-09-22,2025-09-25,Standard Class,CUST-0116,Linda Davis,Consumer,Philadelphia,Pennsylvania,East,Furniture,Bookcases,O'Sullivan Bookcase,3,0,878.79,-4.21
82,US-2025-1041,2025-09-22,2025-09-25,Standard Class,CUST-0116,Linda Davis,Consumer,Philadelphia,Pennsylvania,East,Office Supplies,Binders,Acco Binder,1,0.15,33.93,2.35
83,US-2025-1041,2025-09-22,2025-09-25,Standard Class,CUST-0116,Linda Davis,Consumer,Philadelphia,Pennsylvania,East,Office Supplies,Labels,Hon Label Maker Tape,8,0,68.4,21.3
84,US-2025-1042,2025-08-18,2025-08-21,Same Day,CUST-0189,Joseph Hernandez,Home Office,Minneapolis,Minnesota,Central,Office Supplies,Envelopes,Poly String Envelope,9,0,166.41,19.96
85,US-2025-1042,2025-08-18,2025-08-21,Same Day,CUST-0189,Joseph Hernandez,Home Office,Minneapolis,Minnesota,Central,Office Supplies,Labels,Avery Address Labels,8,0.1,190.66,10.61
86,US-2025-1043,2025-11-22,2025-11-24,Standard Class,CUST-0146,Susan Garcia,Consumer,Richmond,Virginia,South,Office Supplies,Envelopes,Staple Envelope,4,0.3,93.02,16.99
87,US-2025-1044,2025-04-29,2025-05-01,Standard Class,CUST-0203,Karen Taylor,Home Office,Charlotte,North Carolina,South,Office Supplies,Storage,Iris Storage Box,2,0.15,359.38,74.7
88,US-2025-1044,2025-04-29,2025-05-01,Standard Class,CUST-0203,Karen Taylor,Home Office,Charlotte,North Carolina,South,Furniture,Tables,Hon Training Table,3,0.1,1896.08,121.04
89,US-2025-1044,2025-04-29,2025-05-01,Standard Class,CUST-0203,Karen Taylor,Home Office,Charlotte,North Carolina,South,Technology,Phones,Google Pixel,4,0.1,3342.1,574.2
90,US-2025-1044,2025-04-29,2025-05-01,Standard Class,CUST-0203,Karen Taylor,Home Office,Charlotte,North Carolina,South,Office Supplies,Paper,Easy-staple Paper,4,0,80.68,14.12
91,US-2025-1045,2025-07-25,2025-07-27,Standard Class,CUST-0057,Michael Thomas,Corporate,Portland,Oregon,West,Office Supplies,Binders,Wilson Jones Binder,7,0,35.91,7.64
92,US-2025-1045,2025-07-25,2025-07-27,Standard Class,CUST-0057,Michael Thomas,Corporate,Portland,Oregon,West,Office Supplies,Paper,Easy-staple Paper,2,0.1,103.21,23.39
93,US-2025-1046,2025-11-05,2025-11-11,Standard Class,CUST-0011,James Moore,Corporate,Sacramento,California,West,Technology,Machines,HP LaserJet Printer,6,0,13437.48,2865.34
94,US-2025-1046,2025-11-05,2025-11-11,Standard Class,CUST-0011,James Moore,Corporate,Sacramento,California,West,Office Supplies,Fasteners,Bates Stapler,1,0,10.1,2.33
95,US-2025-1047,2025-08-09,2025-08-16,First Class,CUST-0246,Betty Davis,Home Office,San Antonio,Texas,Central,Technology,Copiers,Canon Copier,5,0.2,4183.56,717.26
96,US-2024-1048,2024-10-08,2024-10-12,Standard Class,CUST-0264,Jennifer Jackson,Corporate,Springfield,Illinois,Central,Technology,Accessories,Anker Power Bank,6,0,1564.26,303.36
97,US-2024-1049,2024-07-13,2024-07-15,Second Class,CUST-0189,Joseph Hernandez,Corporate,Indianapolis,Indiana,Central,Office Supplies,Binders,Acco Binder,8,0.2,231.81,13.14
98,US-2024-1049,2024-07-13,2024-07-15,Second Class,CUST-0189,Joseph Hernandez,Corporate,Indianapolis,Indiana,Central,Furniture,Furnishings,Tenex Chairmat,7,0.2,708.12,4.51
99,US-2024-1049,2024-07-13,2024-07-15,Second Class,CUST-0189,Joseph Hernandez,Corporate,Indianapolis,Indiana,Central,Office Supplies,Paper,Easy-staple Paper,5,0.15,87.0,10.14
100,US-2025-1050,2025-06-28,2025-07-02,First Class,CUST-0229,John Wilson,Consumer,Newark,New Jersey,East,Technology,Machines,HP LaserJet Printer,2,0.1,3471.55,410.59
101,US-2023-1051,2023-11-24,2023-11-26,First Class,CUST-0074,Karen Anderson,Home Office,Nashville,Tennessee,South,Furniture,Tables,Bush Computer Table,7,0,6009.92,-69.96
102,US-2025-1052,2025-07-10,2025-07-14,Standard Class,CUST-0191,James Anderson,Corporate,Richmond,Virginia,South,Office Supplies,Fasteners,Acco Paper Clips,4,0,96.36,11.23
103,US-2025-1053,2025-11-26,2025-12-01,First Class,CUST-0288,Nancy Gonzalez,Consumer,San Francisco,California,West,Office Supplies,Labels,Hon Label Maker Tape,8,0,60.8,5.38
104,US-2025-1053,2025-11-26,2025-12-01,First Class,CUST-0288,Nancy Gonzalez,Consumer,San Francisco,California,West,Furniture,Furnishings,Tenex Chairmat,6,0.15,706.61,19.43
105,US-2024-1054,2024-08-17,2024-08-21,First Class,CUST-0081,Patricia Martinez,Home Office,Orlando,Florida,South,Technology,Accessories,Logitech Mouse,4,0,962.96,147.82
106,US-2024-1054,2024-08-17,2024-08-21,First Class,CUST-0081,Patricia Martinez,Home Office,Orlando,Florida,South,Office Supplies,Fasteners,OIC Push Pins,9,0.3,31.37,-1.05
107,US-2025-1055,2025-03-26,2025-04-02,Standard Class,CUST-0369,Mark Anderson,Corporate,Atlanta,Georgia,South,Office Supplies,Binders,Wilson Jones Binder,2,0.15,73.52,7.07
108,US-2024-1056,2024-01-08,2024-01-11,Standard Class,CUST-0222,Sarah Wilson,Home Office,Sacramento,California,West,Furniture,Chairs,Global Deluxe Chair,6,0,3384.66,632.49
109,US-2025-1057,2025-11-28,2025-12-02,Second Class,CUST-0041,Elizabeth Miller,Corporate,San Diego,California,West,Furniture,Tables,Bretford Round Table,9,0.1,4905.44,270.59
110,US-2025-1057,2025-11-28,2025-12-02,Second Class,CUST-0041,Elizabeth Miller,Corporate,San Diego,California,West,Furniture,Tables,Bretford Round Table,1,0.3,102.62,2.34
111,US-2024-1058,2024-06-26,2024-07-03,Second Class,CUST-0108,Margaret Martin,Home Office,Denver,Colorado,West,Technology,Machines,Lexmark Printer,8,0.2,5113.15,263.45
112,US-2025-1059,2025-07-17,2025-07-19,Standard Class,CUST-0353,Richard Jackson,Consumer,San Antonio,Texas,Central,Office Supplies,Binders,Wilson Jones Binder,6,0.2,323.57,75.66
113,US-2025-1059,2025-07-17,2025-07-19,Standard Class,CUST-0353,Richard Jackson,Consumer,San Antonio,Texas,Central,Furniture,Tables,Bretford Round Table,6,0,1669.38,104.17
114,US-2023-1060,2023-10-16,2023-10-18,First Class,CUST-0026,Lisa Anderson,Corporate,Indianapolis,Indiana,Central,Technology,Accessories,Anker Power Bank,6,0,414.6,115.67
115,US-2025-1061,2025-08-14,2025-08-19,Standard Class,CUST-0158,Jennifer Gonzalez,Corporate,New York City,New York,East,Office Supplies,Art,Sharpie Markers,6,0,43.26,9.49
116,US-2025-1062,2025-08-21,2025-08-25,Standard Class,CUST-0275,Sandra Moore,Consumer,Sacramento,California,West,Office Supplies,Fasteners,OIC Push Pins,6,0,18.24,3.84
117,US-2025-1063,2025-01-12,2025-01-18,Standard Class,CUST-0148,Linda Williams,Consumer,Indianapolis,Indiana,Central,Office Supplies,Paper,HP Multipurpose Paper,2,0.2,40.72,3.04
118,US-2025-1063,2025-01-12,2025-01-18,Standard Class,CUST-0148,Linda Williams,Consumer,Indianapolis,Indiana,Central,Technology,Accessories,Belkin Charger,9,0,1164.6,46.27
119,US-2025-1063,2025-01-12,2025-01-18,Standard Class,CUST-0148,Linda Williams,Consumer,Indianapolis,Indiana,Central,Office Supplies,Supplies,Acme Trimmer,8,0.3,90.55,-1.36
120,US-2024-1064,2024-10-14,2024-10-17,First Class,CUST-0202,Matthew Martinez,Home Office,Newark,New Jersey,East,Office Supplies,Supplies,Acme Trimmer,5,0,203.1,31.04
121,US-2024-1064,2024-10-14,2024-10-17,First Class,CUST-0202,Matthew Martinez,Home Office,Newark,New Jersey,East,Furniture,Furnishings,Advantus Wall Clock,1,0,125.43,14.29
122,US-2024-1065,2024-04-11,2024-04-18,Standard Class,CUST-0027,Sarah Brown,Home Office,Detroit,Michigan,Central,Office Supplies,Envelopes,Staple Envelope,4,0.3,11.68,-0.26
123,US-2024-1065,2024-04-11,2024-04-18,Standard Class,CUST-0027,Sarah Brown,Home Office,Detroit,Michigan,Central,Furniture,Tables,Hon Training Table,3,0,1255.89,94.76
124,US-2025-1066,2025-08-23,2025-08-30,Standard Class,CUST-0373,Charles Jackson,Consumer,Orlando,Florida,South,Office Supplies,Supplies,Acme Trimmer,7,0,199.71,59.52
125,US-2024-1067,2024-12-02,2024-12-08,First Class,CUST-0182,Susan Jackson,Home Office,Richmond,Virginia,South,Technology,Machines,Brother Fax Machine,4,0,10747.76,1124.48
126,US-2024-1067,2024-12-02,2024-12-08,First Class,CUST-0182,Susan Jackson,Home Office,Richmond,Virginia,South,Technology,Machines,Lexmark Printer,4,0.1,7124.9,783.39
127,US-2024-1068,2024-07-14,2024-07-18,Standard Class,CUST-0063,Lisa Jackson,Home Office,Nashville,Tennessee,South,Office Supplies,Fasteners,Bates Stapler,5,0.4,8.91,-0.63
128,US-2024-1068,2024-07-14,2024-07-18,Standard Class,CUST-0063,Lisa Jackson,Home Office,Nashville,Tennessee,South,Technology,Machines,Brother Fax Machine,4,0.1,2467.73,550.94
129,US-2024-1068,2024-07-14,2024-07-18,Standard Class,CUST-0063,Lisa Jackson,Home Office,Nashville,Tennessee,South,Office Supplies,Binders,Avery Durable Binder,4,0.15,87.07,12.43
130,US-2024-1069,2024-04-21,2024-04-23,Second Class,CUST-0052,Betty Hernandez,Corporate,Columbus,Ohio,East,Technology,Phones,Nokia Lumia,3,0.3,1014.68,131.5
131,US-2025-1070,2025-09-04,2025-09-11,Standard Class,CUST-0103,Anthony Moore,Corporate,Columbus,Ohio,East,Technology,Accessories,Logitech Mouse,3,0.2,321.84,59.05
132,US-2023-1071,2023-03-16,2023-03-21,Same Day,CUST-0254,Mark Davis,Consumer,Newark,New Jersey,East,Technology,Phones,Google Pixel,2,0,2051.18,294.52
133,US-2023-1071,2023-03-16,2023-03-21,Same Day,CUST-0254,Mark Davis,Consumer,Newark,New Jersey,East,Office Supplies,Supplies,Fiskars Scissors,9,0,360.9,35.43
134,US-2023-1071,2023-03-16,2023-03-21,Same Day,CUST-0254,Mark Davis,Consumer,Newark,New Jersey,East,Furniture,Furnishings,Advantus Wall Clock,3,0,52.83,1.26
135,US-2024-1072,2024-01-31,2024-02-03,First Class,CUST-0313,Paul Jackson,Home Office,Indianapolis,Indiana,Central,Furniture,Bookcases,Bush Birmingham Bookcase,3,0.3,517.04,-87.01
136,US-2024-1072,2024-01-31,2024-02-03,First Class,CUST-0313,Paul Jackson,Home Office,Indianapolis,Indiana,Central,Office Supplies,Supplies,Stanley Bostitch Stapler,6,0.15,141.01,1.81
137,US-2025-1073,2025-01-06,2025-01-13,Standard Class,CUST-0121,James Williams,Consumer,Nashville,Tennessee,South,Office Supplies,Labels,Hon Label Maker Tape,2,0.3,27.83,1.17
138,US-2024-1074,2024-03-28,2024-03-31,Standard Class,CUST-0069,Margaret Brown,Corporate,Philadelphia,Pennsylvania,East,Office Supplies,Supplies,Acme Trimmer,4,0.15,211.28,33.58
139,US-2024-1074,2024-03-28,2024-03-31,Standard Class,CUST-0069,Margaret Brown,Corporate,Philadelphia,Pennsylvania,East,Technology,Copiers,Xerox WorkCentre Copier,6,0.1,3180.49,17.3
140,US-2024-1074,2024-03-28,2024-03-31,Standard Class,CUST-0069,Margaret Brown,Corporate,Philadelphia,Pennsylvania,East,Office Supplies,Art,Sharpie Markers,3,0.1,69.28,4.09
141,US-2024-1074,2024-03-28,2024-03-31,Standard Class,CUST-0069,Margaret Brown,Corporate,Philadelphia,Pennsylvania,East,Office Supplies,Supplies,Fiskars Scissors,9,0,345.69,35.6
142,US-2025-1075,2025-04-30,2025-05-05,Standard Class,CUST-0289,Nancy Garcia,Consumer,Miami,Florida,South,Office Supplies,Envelopes,Globe-Weis Envelope,1,0.1,27.53,1.14
143,US-2025-1075,2025-04-30,2025-05-05,Standard Class,CUST-0289,Nancy Garcia,Consumer,Miami,Florida,South,Office Supplies,Paper,Xerox 1881 Paper,2,0.1,106.58,10.85
